Time,accX,accY,accZ,wx,wy,wz
2.7000079999999995,-664.0,169.0,9402.0,-23.0,76.0,-13.0
2.7099959999999994,-690.0,81.0,9580.0,-26.0,-163.0,-10.0
2.7200039999999994,-666.0,80.0,9471.0,11.0,-349.0,-11.0
2.7300079999999998,-662.0,-81.0,9171.0,60.0,-526.0,-14.0
2.740004,-603.0,187.0,8927.0,74.0,-636.0,-6.0
2.75,-573.0,35.0,8870.0,111.0,-736.0,-9.0
2.7600039999999995,-578.0,325.0,8927.0,104.0,-836.0,4.0
2.770016,-420.0,315.0,8580.0,168.0,-875.0,3.0
2.7800079999999996,-213.0,-202.0,8236.0,243.0,-903.0,-8.0
2.79,-259.0,-771.0,14174.0,1348.0,1004.0,283.0
2.8000039999999995,-1727.0,-12950.0,20063.0,255.0,-1020.0,-26.0
2.810008,-1654.0,-3911.0,13632.0,412.0,-3729.0,-227.0
2.8200079999999996,-6.0,204.0,5121.0,83.0,-3403.0,57.0
2.8300079999999994,911.0,3241.0,-3317.0,271.0,-2098.0,-1.0
2.8400039999999995,1245.0,-3806.0,-5604.0,302.0,-66.0,-139.0
2.850004,1477.0,260.0,-3686.0,-146.0,2314.0,61.0
2.860004,130.0,1889.0,2243.0,178.0,3846.0,-23.0
2.8700079999999994,-1064.0,-2261.0,10285.0,-121.0,3900.0,-69.0
2.88,-1864.0,2140.0,17562.0,-181.0,2747.0,23.0
2.8900040000000002,-2361.0,-278.0,22627.0,81.0,588.0,-42.0
2.900004,-2257.0,-1441.0,21390.0,-47.0,-1597.0,-71.0
2.9100079999999995,-1662.0,1574.0,15163.0,175.0,-2816.0,-15.0
2.9200039999999996,-428.0,175.0,7688.0,182.0,-3664.0,-37.0
2.9299999999999997,862.0,-443.0,292.0,49.0,-2646.0,-37.0
2.940004,1781.0,1029.0,-4771.0,34.0,-668.0,-38.0
2.950004,1865.0,-102.0,-4485.0,89.0,1502.0,-38.0
2.96,826.0,-219.0,-105.0,-81.0,3222.0,-24.0
2.9699999999999998,-145.0,847.0,6980.0,-34.0,3942.0,-21.0
2.9800079999999998,-1184.0,-388.0,14547.0,-37.0,3179.0,-21.0
2.990004,-1825.0,534.0,21060.0,-85.0,1388.0,-5.0
3.0000080000000002,-2035.0,750.0,21271.0,4.0,-838.0,-36.0
3.01,-1515.0,-176.0,17209.0,30.0,-2774.0,-43.0
3.0199999999999996,-470.0,347.0,9459.0,212.0,-3722.0,-31.0
3.030004,814.0,667.0,2653.0,43.0,-2837.0,-38.0
3.0400079999999994,1590.0,-191.0,-3632.0,61.0,-1489.0,-49.0
3.05,1808.0,64.0,-4832.0,26.0,663.0,-15.0
3.0599999999999996,1356.0,336.0,-1767.0,29.0,2503.0,-15.0
3.070012,340.0,-83.0,4512.0,-58.0,3719.0,-34.0
3.0800079999999994,-824.0,338.0,11970.0,-80.0,3340.0,-15.0
3.09,-1752.0,228.0,19078.0,-31.0,1882.0,-15.0
3.099996,-2232.0,192.0,20812.0,-28.0,-210.0,-23.0
3.1100079999999997,-2178.0,333.0,18344.0,18.0,-2209.0,-28.0
3.1200079999999994,-909.0,202.0,12542.0,60.0,-3497.0,-18.0
3.13,-223.0,-199.0,5463.0,111.0,-3362.0,-25.0
3.1399999999999997,644.0,72.0,-481.0,37.0,-2079.0,-20.0
3.150004,1070.0,217.0,-4025.0,4.0,-210.0,-40.0
3.1600079999999995,1035.0,-69.0,-2144.0,-8.0,1831.0,-25.0
3.170008,55.0,248.0,3138.0,-29.0,3299.0,-10.0
3.1799999999999997,-981.0,273.0,10084.0,-57.0,3268.0,-27.0
3.1899999999999995,-1844.0,147.0,16532.0,-39.0,2265.0,-24.0
3.2000079999999995,-2265.0,394.0,20624.0,-22.0,501.0,-17.0
3.210008,-2166.0,311.0,19543.0,8.0,-1468.0,-33.0
3.2199999999999998,-1580.0,148.0,14757.0,32.0,-2915.0,-35.0
3.2299999999999995,-204.0,-164.0,8437.0,-1.0,-3114.0,7.0
3.240016,488.0,75.0,1216.0,48.0,-2433.0,-29.0
3.2500039999999997,1184.0,72.0,-3158.0,-3.0,-755.0,-42.0
3.26,1360.0,-32.0,-2710.0,-19.0,1252.0,-26.0
3.2699999999999996,543.0,270.0,1348.0,-2.0,2778.0,-12.0
3.2800079999999996,-415.0,127.0,7645.0,-53.0,3329.0,-26.0
3.2900079999999994,-1283.0,276.0,14155.0,-67.0,2644.0,-23.0
3.3,-1855.0,280.0,19468.0,-27.0,1105.0,-18.0
3.3099999999999996,-1999.0,202.0,19569.0,-2.0,-815.0,-20.0
3.320004,-1485.0,247.0,15943.0,20.0,-2457.0,-33.0
3.3300079999999994,-149.0,98.0,10320.0,-41.0,-2834.0,13.0
3.340008,448.0,-3.0,3253.0,91.0,-2629.0,-16.0
3.3499999999999996,1012.0,27.0,-2277.0,34.0,-1281.0,-39.0
3.3599999999999994,1183.0,46.0,-2983.0,-3.0,545.0,-36.0
3.3700079999999994,900.0,164.0,-20.0,4.0,2191.0,-10.0
3.3800039999999996,-42.0,163.0,5606.0,-44.0,3179.0,-18.0
3.3899999999999997,-1030.0,259.0,12101.0,-65.0,2773.0,-23.0
3.400004,-1799.0,260.0,17977.0,-34.0,1505.0,-15.0
3.4100159999999997,-2137.0,250.0,19347.0,-6.0,-281.0,-22.0
3.420008,-1990.0,238.0,17001.0,12.0,-1995.0,-33.0
3.4300039999999994,-1063.0,68.0,11939.0,57.0,-3287.0,-20.0
3.440004,-277.0,333.0,5944.0,52.0,-2835.0,-19.0
3.4500079999999995,393.0,171.0,-763.0,27.0,-1762.0,-40.0
3.4600039999999996,918.0,265.0,-2334.0,23.0,-104.0,-35.0
3.470008,749.0,165.0,-499.0,15.0,1639.0,-21.0
3.4799999999999995,-117.0,167.0,4229.0,-37.0,2851.0,-19.0
3.49,-1020.0,298.0,10328.0,-64.0,2787.0,-24.0
3.5000080000000002,-1754.0,186.0,15810.0,-40.0,1867.0,-18.0
3.510008,-2078.0,283.0,19153.0,-17.0,323.0,-15.0
3.5199999999999996,-1910.0,307.0,17982.0,9.0,-1361.0,-28.0
3.530004,-1431.0,197.0,13670.0,29.0,-2570.0,-31.0
3.5400079999999994,-704.0,218.0,7614.0,60.0,-2941.0,-31.0
3.5500039999999995,439.0,41.0,2138.0,70.0,-1938.0,-16.0
3.5599999999999996,1026.0,79.0,-1434.0,17.0,-508.0,-34.0
3.5699999999999994,1166.0,32.0,-846.0,-17.0,1260.0,-29.0
